Nome original;Nome utilizado;Tabela
ID_STG_FNT_ITT;id_fonte;fonte
NUM_CNPJ;cnpj;fonte
NUM_CMP_CNPJ;complemento;fonte
ID_STG_MDL;id_mod;modalidade
COD_MDL;codigo_mod;modalidade
DES_MDL;descri_mod;modalidade
ID_STG_MVT_CRD;id_movi;movimentacao
VLR_SDO_UTZ_CRD_RTO;vlr_saldo;movimentacao
VLR_TOT_FAT;vlr_total_fat;movimentacao
VLR_MIM_FAT;vlr_min_fat;movimentacao
VLR_PCL_FAT;vlr_parcela_fat;movimentacao
QTD_CLI_CAD_POS;qtd_clientes;movimentacao
QTD_MVT;qtd_movi;movimentacao
DES_TIP_PSS;tipo_pessoa;movimentacao
ID_FNT_ITT;id_fonte;movimentacao
COD_MDL;codigo_mod;movimentacao
ID_STG_OPR_ITT;id_operacao;operacao
VLR_CTRD_CSC;vlr_contrato;operacao
QTD_PCL;qtd_parcelas;operacao
VLR_SDO_DDR;vlr_devido;operacao
QTD_CLI_CAD_POS;qtd_clientes;operacao
QTD_OPR;qtd_operacao;operacao
ID_FNT_ITT;id_fonte;operacao
ID_MDL;id_mod;operacao
DES_TIP_PSS;tipo_pessoa;operacao
ID_STG_PGT;id_pagamento;pagamento
VLR_PGT_FAT;vlr_pago;pagamento
DAT_VCT;data_vencimento;pagamento
COD_MDL;codigo_mod;pagamento
QTD_CLI_CAD_POS;qtd_clientes;pagamento
QTD_PGT;qtd_pagamento;pagamento
ID_FNT_ITT;id_fonte;pagamento
DES_TIP_PSS;tipo_pessoa;pagamento



