ano,mes,customer_city_codes,customer_state_codes
2017,5,1376,25
2017,11,3349,13
2017,11,3349,13
2017,5,2520,22
2018,2,2156,18
2017,3,177,23
2017,5,1037,10
2017,3,4001,12
2018,3,451,10
2018,1,3314,10
2018,1,3314,10
2017,5,1412,23
2017,5,1412,23
2017,5,1412,23
2017,5,1412,23
2017,5,1412,23
2017,5,1412,23
2018,1,2771,22
2017,10,2798,18
2017,2,2345,10
2017,2,2345,10
2018,2,977,12
2017,6,3576,25
2017,10,451,10
2018,3,3228,4
2017,4,3136,18
2017,3,2095,7
2018,4,2175,17
2018,4,2175,17
2018,4,2175,17
2018,4,2175,17
2018,4,2175,17
2017,6,2984,25
2018,3,83,10
2017,4,544,25
2017,6,1352,23
2018,3,1450,10
2018,3,1450,10
2018,4,2228,25
2017,5,704,25
2018,1,416,4
2018,1,416,4
2017,12,428,25
2018,2,3576,25
2018,3,297,18
2018,3,297,18
2017,5,2936,18
2017,7,2896,25
2017,7,2896,25
2017,6,3500,23
2017,10,1076,11
2018,1,2492,18
2018,1,2492,18
2017,5,3396,25
2017,5,3396,25
2017,2,69,4
2018,4,1826,7
2018,4,1826,7
2018,4,1826,7
2017,11,421,5
2018,1,3409,25
2018,2,3928,10
2018,4,3576,25
2017,12,3576,25
2018,2,843,10
2018,4,4073,18
2017,9,3951,25
2018,4,2068,4
2018,4,4014,22
2017,12,1796,23
2018,6,1139,17
2018,2,544,25
2017,10,2896,25
2017,12,3576,25
2018,1,3576,25
2018,4,1139,17
2018,1,3576,25
2018,1,3928,10
2017,8,3451,18
2018,5,4052,25
2018,4,3928,10
2018,1,2945,22
2018,5,1139,17
2017,12,2771,22
2017,12,769,22
2017,8,3357,22
2017,9,465,25
2018,4,3576,25
2017,11,877,17
2018,5,1457,10
2018,6,3130,25
2018,5,3228,4
2018,1,3415,25
2018,1,3415,25
2018,1,3415,25
2017,12,3576,25
2017,12,2945,22
2018,4,451,10
2018,4,722,11
2018,4,3546,9
2018,1,3593,25
2018,5,1139,17
2018,6,2087,25
2018,4,2945,22
2018,1,3576,25
2017,11,897,22
2018,3,2101,17
2018,5,3576,25
2018,6,689,5
2018,6,689,5
2018,1,3617,25
2018,7,3136,18
2018,7,3136,18
2018,6,3576,25
2017,10,2696,19
2018,6,2945,22
2018,4,3824,18
2018,3,2329,25
2017,2,843,10
2017,2,843,10
2017,4,3288,22
2018,7,3576,25
2018,7,3576,25
2018,7,3331,25
2018,5,2626,26
2017,11,3576,25
2017,7,3136,18
2017,7,3136,18
2017,7,3136,18
2017,7,3136,18
2017,6,1770,10
2017,6,1770,10
2017,6,1770,10
2017,11,1372,17
2017,11,1372,17
2017,11,1372,17
2018,3,3396,25
2018,3,3396,25
2018,3,3396,25
2018,3,3396,25
2018,3,3396,25
2017,10,3355,25
2018,7,704,25
2018,7,1781,4
2017,11,2579,25
2017,7,1058,10
2017,9,1928,23
2018,6,484,21
2018,7,437,14
2017,12,556,6
2017,12,556,6
2018,2,3576,25
2018,1,3576,25
2018,1,3534,25
2018,1,3534,25
2018,1,1139,17
2018,3,737,18
2018,3,737,18
2017,12,3136,18
2018,3,3454,10
2018,1,2071,10
2018,2,1086,11
2018,3,4050,7
2018,1,451,10
2018,8,2849,25
2018,5,3894,23
2018,2,2447,18
2018,5,162,13
2018,4,864,17
2018,7,2651,10
2018,8,451,10
2018,2,269,18
2018,5,3576,25
2018,5,3576,25
2018,6,3576,25
2018,1,2270,25
2018,1,2270,25
2018,1,2270,25
2018,1,2270,25
2018,5,3606,10
2018,6,1121,25
2018,3,451,10
2018,6,1378,17
2018,8,2945,22
2018,7,728,17
2018,1,581,23
2018,7,1439,8
2018,2,3876,10
2018,2,3140,4
2018,5,2680,17
2018,3,3451,18
2018,1,1391,23
2018,4,3228,4
2018,2,3546,9
2018,2,3576,25
2018,1,468,10
2017,12,1996,10
2018,7,3356,25
2018,6,2593,10
2018,2,2522,10
2018,8,3536,17
2018,8,3536,17
2018,8,3536,17
2018,8,3536,17
2018,4,3500,23
2018,1,2756,25
2018,6,3576,25
2018,6,3804,25
2018,1,3136,18
2018,5,1221,11
2018,5,3136,18
2018,2,1358,10
2018,5,1037,10
2018,6,451,10
2018,8,2849,25
2018,7,813,17
2018,7,1980,23
2018,8,3113,25
2018,5,3534,25
2018,7,2743,10
2018,1,1526,10
2018,2,1878,17
2018,4,143,17
2018,3,128,17
2018,3,2007,25
2018,1,1793,25
2018,7,1139,17
2018,2,3133,18
2017,11,1849,25
2018,7,3754,25
2018,1,4064,4
2018,3,451,10
2018,5,3576,25
2018,5,1372,17
2018,4,3529,25
2018,4,3529,25
2018,2,3576,25
2018,2,1303,5
2018,2,1303,5
2018,6,3884,22
2018,3,3576,25
2018,3,556,6
2018,8,2849,25
2018,3,2228,25
2018,1,3228,4
2018,8,3136,18
2018,1,1309,22
2018,7,3534,25
2017,12,1225,25
2018,3,1088,25
2018,3,1088,25
2018,7,1219,17
2018,6,3576,25
2018,4,3576,25
2018,4,3136,18
2018,2,4001,12
2018,8,2353,25
2018,4,817,25
2018,7,3824,18
