id;safra_abertura;cidade;estado;idade;sexo;limite_total;limite_disp;data; valor ;grupo_estabelecimento;cidade_estabelecimento;pais_estabelecimento
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5605;4.12.2019;31;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5343;9.11.2019;150,01;FARMACIAS;SANTOS;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2829;6.05.2019;50;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2547;1.06.2019;54,4;M.O.T.O.;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2515;1.06.2019;32,79;M.O.T.O.;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2636;5.05.2020;44,9;ARTIGOS ELETRO;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5471;24.11.2019;45,9;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2789;21.03.2020;5;M.O.T.O.;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5943;6.01.2020;10;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5451;24.12.2019;50;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5431;24.12.2019;20;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;1706;4.04.2020;360,45;M.O.T.O.;LNKD.IN/BILL;IE
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2879;3.05.2019;1.784,13;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;6326;7.02.2020;10;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;3177;26.06.2019;19,99;VAREJO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2117;1.04.2020;26;SERVI‚O;CURITIBA;BR
